ID,MUNICIPIO,ID2,Departamento,lat,lon
8832,TUBAR?¡,8,Atl?¡ntico,10.9166667,-74.95
23815,TUCH?­N,23,C?³rdoba,9.1833333,-75.55
76834,TUL?ºA,76,Valle del Cauca,4.0866667,-76.2
52835,TUMACO,52,Nari?±o,1.7986111,-78.8155556
15001,TUNJA (CT),15,Boyac?¡,5.5352778,-73.3677778
15832,TUNUNGUA,15,Boyac?¡,5.7333333,-73.9333333
13836,TURBACO,13,Bol?­var,10.35,-75.3333333
13838,TURBAN?¡,13,Bol?­var,10.25,-75.4166667
5837,TURBO,5,Antioquia,8,-76.5833333
15835,TURMEQU?©,15,Boyac?¡,5.3333333,-73.5
15837,TUTA,15,Boyac?¡,5.75,-73.1666667
15839,TUTAS?¡,15,Boyac?¡,6.1666667,-72.8333333
85400,T?¡MARA,85,Casanare,5.8297222,-72.1633333
5789,T?¡MESIS,5,Antioquia,5.6666667,-75.6666667
52838,T?ºQUERRES,52,Nari?±o,1.1666667,-77.5833333
25839,UBAL?¡,25,Cundinamarca,4.8333333,-73.5
25841,UBAQUE,25,Cundinamarca,4.5833333,-74
25843,UBAT?©,25,Cundinamarca,5.35,-73.8333333
76845,ULLOA,76,Valle del Cauca,4.7166667,-75.75
25845,UNE,25,Cundinamarca,4.3333333,-74.0833333
27800,UNGU?­A,27,Choc?³,8.0430556,-77.0961111
27810,UNI?³N PANAMERICANA (??NIMAS),27,Choc?³,5.283,-76.617
5842,URAMITA,5,Antioquia,6.8994444,-76.1741667
50370,URIBE,50,Meta,3.254,-74.358
44847,URIBIA,44,La Guajira,11.9166667,-72
5847,URRAO,5,Antioquia,6.3333333,-76.4166667
44855,URUMITA,44,La Guajira,10.5666667,-73.0166667
8849,USIACURI,8,Atl?¡ntico,10.75,-74.9666667
5854,VALDIVIA,5,Antioquia,7.3333333,-75.3333333
23855,VALENCIA,23,C?³rdoba,8.3,-76.1666667
68855,VALLE DE SAN JOSE,68,Santander,6.5,-73.0666667
73854,VALLE DE SAN JUAN,73,Tolima,4.25,-75.1666667
86865,VALLE DEL GUAMUEZ,86,Putumayo,0.4525,-76.9191667
20001,VALLEDUPAR (CT),20,Cesar,10.4769444,-73.2505556
5856,VALPARAISO,5,Antioquia,5.6666667,-75.5833333
18860,VALPARAISO,18,Caquet?¡,1.1991667,-75.7097222
5858,VEGACH?­,5,Antioquia,6.7730556,-74.8016667
73861,VENADILLO,73,Tolima,4.75,-74.9166667
5861,VENECIA,5,Antioquia,5.9166667,-75.75
25506,VENECIA (OSPINA P?©REZ),25,Cundinamarca,4.1333333,-74.5
15861,VENTAQUEMADA,15,Boyac?¡,5.4166667,-73.5
25862,VERGARA,25,Cundinamarca,5.1666667,-74.3333333
76863,VERSALLES,76,Valle del Cauca,4.6666667,-76.25
68867,VETAS,68,Santander,7.3333333,-72.8666667
25867,VIANI,25,Cundinamarca,4.9166667,-74.55
5873,VIG?­A DEL FUERTE,5,Antioquia,6.5919444,-76.8986111
76869,VIJES,76,Valle del Cauca,3.6986111,-76.4491667
54871,VILLA CARO,54,Norte de Santander,7.9169444,-72.9763889
19845,VILLA RICA,19,Cauca,2.5136111,-76.8477778
15407,VILLA DE LEIVA,15,Boyac?¡,5.6333333,-73.5333333
54874,VILLA DEL ROSARIO,54,Norte de Santander,7.8338889,-72.4741667
86885,VILLAGARZ?³N,86,Putumayo,1.038,-76.627
25871,VILLAG?³MEZ,25,Cundinamarca,5.2761111,-74.1988889
73870,VILLAHERMOSA,73,Tolima,5,-75.1666667
17873,VILLAMAR?­A,17,Caldas,5,-75.5
13873,VILLANUEVA,13,Bol?­var,10.45,-75.25
44874,VILLANUEVA,44,La Guajira,10.5833333,-73
68872,VILLANUEVA,68,Santander,6.6741667,-73.1777778
85440,VILLANUEVA,85,Casanare,5.2833333,-71.9666667
25873,VILLAPINZ?³N,25,Cundinamarca,5.2833333,-73.5833333
73873,VILLARRICA,73,Tolima,4,-74.5833333
50001,VILLAVICENCIO (CT),50,Meta,4.1533333,-73.635
41872,VILLAVIEJA,41,Huila,3.3333333,-75.1666667
25875,VILLETA,25,Cundinamarca,5.0833333,-74.5
25878,VIOT?¡,25,Cundinamarca,4.5,-74.5
15879,VIRACACH?¡,15,Boyac?¡,5.5,-73.25
50711,VISTA HERMOSA,50,Meta,3.0863889,-73.7513889
17877,VITERBO,17,Caldas,5.0833333,-75.8666667
68861,V?©LEZ,68,Santander,6.0833333,-73.5833333
25885,YACOP?­,25,Cundinamarca,5.6666667,-74.4166667
52885,YACUANQUER,52,Nari?±o,1.0833333,-77.4166667
41885,YAGUAR?¡,41,Huila,2.6666667,-75.5833333
5885,YAL?­,5,Antioquia,6.8333333,-74.75
5887,YARUMAL,5,Antioquia,7,-75.5
5890,YOLOMB?³,5,Antioquia,6.6666667,-75
5893,YOND?³ (CASABE),5,Antioquia,7.0077778,-73.9141667
85001,YOPAL (CT),85,Casanare,5.3394444,-72.3941667
76890,YOTOCO,76,Valle del Cauca,3.9166667,-76.3333333
76892,YUMBO,76,Valle del Cauca,3.585,-76.4958333
13894,ZAMBRANO,13,Bol?­var,9.75,-74.8333333
68895,ZAPATOCA,68,Santander,6.8333333,-73.25
47960,ZAPAY?¡N (PUNTA DE PIEDRAS),47,Magdalena,10.171,-74.719
5895,ZARAGOZA,5,Antioquia,7.75,-74.75
76895,ZARZAL,76,Valle del Cauca,4.3983333,-76.0772222
15897,ZETAQUIR?¡,15,Boyac?¡,5.35,-73.1666667
25888,ZIPAC?³N,25,Cundinamarca,4.8333333,-74.4166667
25899,ZIPAQUIR?¡,25,Cundinamarca,5.0283333,-74.0058333
47980,ZONA BANANERA (PRADO - SEVILLA),47,Magdalena,,
54003,??BREGO,54,Norte de Santander,8,-73.2
41357,??QUIRA,41,Huila,2.75,-75.75
15842,??MBITA,15,Boyac?¡,5.2333333,-73.45
25851,??TICA,25,Cundinamarca,5.25,-74.5
